1 
3 
1 
18450
150 75 
0.031407 -1.250000 0.749342 0.031407 -1.216667 0.749342 -0.000000 -1.216667 0.750000 -0.000000 -1.250000 0.750000 
0.062758 -1.250000 0.747370 0.062758 -1.216667 0.747370 0.031407 -1.216667 0.749342 0.031407 -1.250000 0.749342 
0.094000 -1.250000 0.744086 0.094000 -1.216667 0.744086 0.062758 -1.216667 0.747370 0.062758 -1.250000 0.747370 
0.125077 -1.250000 0.739497 0.125077 -1.216667 0.739497 0.094000 -1.216667 0.744086 0.094000 -1.250000 0.744086 
0.155934 -1.250000 0.733611 0.155934 -1.216667 0.733611 0.125077 -1.216667 0.739497 0.125077 -1.250000 0.739497 
0.186517 -1.250000 0.726437 0.186517 -1.216667 0.726437 0.155934 -1.216667 0.733611 0.155934 -1.250000 0.733611 
0.216774 -1.250000 0.717990 0.216774 -1.216667 0.717990 0.186517 -1.216667 0.726437 0.186517 -1.250000 0.726437 
0.246650 -1.250000 0.708282 0.246650 -1.216667 0.708282 0.216774 -1.216667 0.717990 0.216774 -1.250000 0.717990 
0.276093 -1.250000 0.697332 0.276093 -1.216667 0.697332 0.246650 -1.216667 0.708282 0.246650 -1.250000 0.708282 
0.305052 -1.250000 0.685159 0.305052 -1.216667 0.685159 0.276093 -1.216667 0.697332 0.276093 -1.250000 0.697332 
0.333476 -1.250000 0.671784 0.333476 -1.216667 0.671784 0.305052 -1.216667 0.685159 0.305052 -1.250000 0.685159 
0.361315 -1.250000 0.657230 0.361315 -1.216667 0.657230 0.333476 -1.216667 0.671784 0.333476 -1.250000 0.671784 
0.388520 -1.250000 0.641523 0.388520 -1.216667 0.641523 0.361315 -1.216667 0.657230 0.361315 -1.250000 0.657230 
0.415044 -1.250000 0.624691 0.415044 -1.216667 0.624691 0.388520 -1.216667 0.641523 0.388520 -1.250000 0.641523 
0.440839 -1.250000 0.606763 0.440839 -1.216667 0.606763 0.415044 -1.216667 0.624691 0.415044 -1.250000 0.624691 
